Skilling 500 - Klassplacering (inofficiella resultat),,,,,,,,,,,,
Ungdom,,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
71,45,7,B,Hampus Classon/Tobias Karlsson,Karlskrona AK/Karlskrona AK,Opel Ascona,,0,"22.32,1","2.30,5","1.50,0","5.02,1 | 3.43,6 | 3.57,8 | 9.48,6 |"
66,54,8,B,Tobias Hult/Lina Fredriksson,SMK Nyköping/Katrineholms MK,VW Golf 3,,0,"22.46,9","2.45,3","2.04,8","4.28,5 | 3.28,7 | 5.53,9 | 8.55,8 |"
69,,,B,Alexander Alexandersson/Emil Pettersson,Vimmerby MS/Vimmerby MS,Volvo 940,Flugenäs Racing,0,Brutit (Teknisk fel),,,"4.30,6 | 3.31,8 | -.--,- | -.--,- |"
72,,,B,Henrik Sjöberg/Anders Sjöberg,Ljungby MK/Ljungby MK,Opel Ascona,,0,Brutit (Teknisk fel),,,"5.13,1 | 4.03,4 | -.--,- | -.--,- |"
64,,,B,Morgan Larsson/Fredrik Braun,Dals MK/Dals MK,BMW 325,,0,Brutit (Teknisk fel),,,"7.18,5 | -.--,- | -.--,- | -.--,- |"
"VOC, Gr F, R1B, Gr N upp till 1400 B-Förare",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
79,24,1,B,Johan Pettersson/Per-Ola Pettersson,Skillingaryds MK/Skillingaryds MK,VW Golf,,0,"21.31,2","1.29,6",,"4.44,8 | 3.40,6 | 3.48,3 | 9.17,5 |"
80,25,2,B,Robin Thörnberg/Elinor Thörnberg,Vetlanda RRC/Vetlanda RRC,Volvo 240,,0,"21.31,7","1.30,1","0.00,5","4.49,1 | 3.39,4 | 3.45,7 | 9.17,5 |"
78,28,3,B,Linus Johansson/Hugo Nilsson,Ryds mk/Älmhults MK,Volvo 940,,0,"21.36,6","1.35,0","0.05,4","4.46,6 | 3.39,9 | 3.50,5 | 9.19,6 |"
74,36,4,B,Jonas Karlsson/Johan Svensson,Åmåls MK/Åmåls MK,Volvo 940,,0,"22.07,4","2.05,8","0.36,2","4.52,8 | 3.44,5 | 3.55,1 | 9.35,0 |"
76,37,5,B,Fredrik Bergström /Max Johansson,Säffle MC/Säffle MC,Volvo 740,,0,"22.07,7","2.06,1","0.36,5","4.52,2 | 3.42,3 | 3.54,3 | 9.38,9 |"
75,41,6,B,Jim Andersson/Håkan Andersson,Dals MK/Dals MK,Volvo 940,,0,"22.24,3","2.22,7","0.53,1","4.55,8 | 3.46,0 | 4.02,3 | 9.40,2 |"
77,47,7,B,Markus Svensson/Havanna Forsell,Älmhults MK/Älmhults MK,Volvo 940,Team Route 23,0,"22.33,5","2.31,9","1.02,3","5.01,1 | 3.47,8 | 3.58,6 | 9.46,0 |"
81,57,8,B,Mattias Holm/Christer Holm,SMK Trollhättan/SMK Trollhättan,Volvo 940,Team Cowboy,0,"22.56,9","2.55,3","1.25,7","4.58,2 | 3.51,3 | 4.05,2 | 10.02,2 |"
"VOC, Gr F, R1B, Gr N upp till 1400 C-Förare",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
86,32,1,C,Vincent Johansson/Karl Stark,Skillingaryds MK/Skillingaryds MK,Volvo 940,,0,"21.58,8","1.57,2",,"4.50,0 | 3.44,1 | 3.54,9 | 9.29,8 |"
87,59,2,C,Hjalmar Petersson/Stefan Petersson,Grimslövs MS/Grimslövs MS,Volvo 940,,0,"23.01,2","2.59,6","1.02,4","5.03,6 | 3.55,2 | 4.05,7 | 9.56,7 |"
85,60,3,C,Magnus Johansson/Björn Johansson,Bengtsfors MC/Säffle MC,Volvo 740,,0,"23.08,3","3.06,7","1.09,5","5.07,5 | 3.50,8 | 4.03,8 | 10.06,2 |"
82,61,4,C,Emil Ivarsson/Eric Holgersson,Kullings MS/Kullings MS,Volvo 940,,0,"23.09,7","3.08,1","1.10,9","5.04,3 | 3.54,3 | 4.07,9 | 10.03,2 |"
83,63,5,C,Nils Leijer/Ulrika Johansson,Kullings MS/Kullings MS,Volvo 940,,0,"23.13,4","3.11,8","1.14,6","5.06,6 | 3.54,4 | 4.09,7 | 10.02,7 |"
84,68,6,C,Daniel Flink /Therése Helg,Kullings MS/Kullings MS,Volvo 244,,0,"23.44,4","3.42,8","1.45,6","5.20,2 | 3.55,7 | 4.10,3 | 10.18,2 |"
90,75,7,C,Albin Esaiasson /Mattis Lundström,Ryds MK/Ryds MK,Volvo 240,,0,"24.03,3","4.01,7","2.04,5","5.24,5 | 3.56,9 | 4.26,8 | 10.15,1 |"
91,80,8,C,Joakim Rönnbäck/Bo Rönnbäck,Waxholm Mk /Waxholm Mk,Volvo 244,,0,"24.30,0","4.28,4","2.31,2","5.34,0 | 4.06,5 | 4.18,3 | 10.31,2 |"
200,84,9,C,Felix Wallin/Tom Wallin,Jönköpings sportvagnssällskap/Jönköpings kartingklubb,Volvo 244,,0,"24.43,2","4.41,6","2.44,4","5.39,5 | 4.07,5 | 4.15,8 | 10.40,4 |"
88,85,10,C,Kim Johansson/Jacob Monahan,Falköpings MK/Falköpings MK,Volvo 940,,0,"24.48,4","4.46,8","2.49,6","5.34,7 | 4.10,5 | 4.21,4 | 10.41,8 |"
89,,,C,Tobias Petrini /Carl Adamsson,Norrköpings MK/Norrköpings MK,Audi A3,SVWAT-TUNING AB,0,Brutit (Avåkning),,,"5.10,7 | 4.02,8 | -.--,- | -.--,- |"
"Gr E, C-Förare",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
94,78,1,C,Mikael Andersson/Vincent Lidre Andersson,Kullings MS/Dals MK,Opel Astra,,0,"24.21,9","4.20,3",,"5.19,7 | 4.06,7 | 4.19,6 | 10.35,9 |"
92,81,2,C,Peter Lanner/Nathalie Arvidsson,Vara MK/Falköpings MK,VW Golf,skjutportsbeslag.se,0,"24.32,4","4.30,8","0.10,5","5.30,2 | 4.09,0 | 4.21,2 | 10.32,0 |"
93,82,3,C,Felix Holmsten /Åke Holmsten,Vara MK/Vara MK,Opel Corsa,,10 (SS4: Tjuvstart),"24.42,2","4.40,6","0.20,3","5.36,5 | 4.06,0 | 4.22,7 | 10.27,0 |"
98,86,4,C,Jörgen Johansson/Ludwig Johansson,Nässjö MK/Nässjö MK,VW Golf 4,,0,"24.53,0","4.51,4","0.31,1","5.41,6 | 4.14,5 | 4.27,1 | 10.29,8 |"
96,89,5,C,Johan Gustafsson/Wilmer Lennartsson,Skillingaryds MK/Skillingaryds MK,VW Golf,,0,"24.57,9","4.56,3","0.36,0","5.38,3 | 4.13,1 | 4.26,3 | 10.40,2 |"
95,94,6,C,Rickard Klahr/Alexxis Klahr,SMK Eksjö /SMK Eksjö,Volvo 940,,0,"25.39,6","5.38,0","1.17,7","5.42,1 | 4.17,7 | 4.32,6 | 11.07,2 |"
97,,,C,Per Johansson/Timo Hihnala,Kinds MK/Kinds MK,VW Golf IV,,0,Brutit (Teknisk fel),,,"5.17,7 | 3.59,7 | 4.12,0 | -.--,- |"
"2WD C-Förare (Gr H, Gr HB, R2, R3, Nat spec 2WD)",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
99,38,1,C,Oliver Grunnegård Andersson /Kjell Olofsson,Kullings MS/Kullings MS,Volvo 244,,0,"22.09,8","2.08,2",,"4.58,5 | 3.43,9 | 3.54,0 | 9.33,4 |"
102,39,2,C,Marcus Kjellkvist/Inge Petersson,Skillingaryds MK/Skillingaryds MK,Volvo 940,,0,"22.14,5","2.12,9","0.04,7","5.00,3 | 3.47,3 | 3.51,6 | 9.35,3 |"
111,42,3,C,Robert Svensson/Hannes Håkansson,Asarums MS/Asarums MS,BMW 325,Runes Motorsport,20 (SS4: Tidig ankomst),"22.24,9","2.23,3","0.15,1","4.47,6 | 3.44,5 | 3.51,8 | 9.41,0 |"
106,44,4,C,Peter Jakobsson/Roger Dahlberg,Vimmerby MS/Kristdala,Ford Sierra,,0,"22.26,0","2.24,4","0.16,2","4.57,7 | 3.45,6 | 4.01,3 | 9.41,4 |"
110,46,5,C,Casper Johansson/Håkan Tagesson,Nybro AC/Nybro AC,Volvo 244,,0,"22.32,7","2.31,1","0.22,9","5.00,9 | 3.47,3 | 4.00,0 | 9.44,5 |"
101,52,6,C,Fredrik Gustavsson/Wilma Holgersson,Jungnerligan RC/Jungnerligan RC,Volvo 740,,0,"22.42,3","2.40,7","0.32,5","5.10,6 | 3.49,2 | 3.57,8 | 9.44,7 |"
107,53,7,C,Stefan Magnusson/Jesper Stendal,Norrahammars MK/Tidaholms MK,Volvo 242,,0,"22.45,6","2.44,0","0.35,8","5.10,6 | 3.47,7 | 4.02,7 | 9.44,6 |"
108,65,8,C,Anders Tildemyr/Jonatan Sjösten,Vimmerby MS/Vimmerby MS,Opel Ascona B,,0,"23.24,4","3.22,8","1.14,6","5.10,2 | 3.51,1 | 4.12,1 | 10.11,0 |"
100,69,9,C,Fredrik Sundqvist/Mikael Sundqvist,SMK Örebro/SMK Örebro,Ford Fiesta ST,,0,"23.45,9","3.44,3","1.36,1","5.21,1 | 4.00,0 | 4.09,2 | 10.15,6 |"
104,70,10,C,Emil Karlsson /Joakim Persson,Vimmerby MS/Vimmerby MS,Volvo 244,Flugenäs Racing,0,"23.47,3","3.45,7","1.37,5","5.19,5 | 4.11,2 | 4.11,0 | 10.05,6 |"
103,,,C,Patrik Lundström /Lars Gustafsson,Gullabo RC/Gullabo RC,Opel Ascona,,0,Brutit (Teknisk fel),,,"5.07,2 | 3.49,3 | 4.06,1 | -.--,- |"
109,,,C,Marcus Svensson/Alexander Svensson,Ryds MK/Älmhults MK,Volvo 240,,0,Brutit (Teknisk fel),,,"4.45,4 | -.--,- | -.--,- | -.--,- |"
